141: loss=0.715, reward_mean=-12.1, reward_bound=-1.0
142: loss=0.733, reward_mean=24.4, reward_bound=106.6
143: loss=0.683, reward_mean=88.5, reward_bound=179.5
144: loss=0.651, reward_mean=20.7, reward_bound=24.2
145: loss=0.690, reward_mean=32.0, reward_bound=161.9
146: loss=0.723, reward_mean=47.5, reward_bound=115.4
147: loss=0.669, reward_mean=18.1, reward_bound=119.2
148: loss=0.711, reward_mean=61.5, reward_bound=203.1
149: loss=0.718, reward_mean=1.9, reward_bound=120.3
150: loss=0.721, reward_mean=22.4, reward_bound=152.9
151: loss=0.665, reward_mean=65.5, reward_bound=177.3
152: loss=0.738, reward_mean=25.4, reward_bound=87.9
153: loss=0.657, reward_mean=88.4, reward_bound=177.4
154: loss=0.816, reward_mean=-40.2, reward_bound=7.8
155: loss=0.597, reward_mean=75.4, reward_bound=183.7
156: loss=0.645, reward_mean=36.7, reward_bound=139.5
157: loss=0.704, reward_mean=52.7, reward_bound=90.4
158: loss=0.741, reward_mean=94.2, reward_bound=191.1
159: loss=0.690, reward_mean=10.9, reward_bound=48.9
160: loss=0.642, reward_mean=52.6, reward_bound=122.4
161: loss=0.695, reward_mean=4.3, reward_bound=134.4
162: loss=0.642, reward_mean=-10.9, reward_bound=114.1
163: loss=0.674, reward_mean=34.5, reward_bound=177.8
164: loss=0.708, reward_mean=107.6, reward_bound=198.0
165: loss=0.788, reward_mean=-14.2, reward_bound=70.1
166: loss=0.703, reward_mean=97.2, reward_bound=201.2
167: loss=0.741, reward_mean=-55.2, reward_bound=15.4
168: loss=0.708, reward_mean=-17.5, reward_bound=139.0
169: loss=0.849, reward_mean=-113.1, reward_bound=-47.4
170: loss=0.815, reward_mean=-109.8, reward_bound=-64.4
171: loss=0.771, reward_mean=-38.2, reward_bound=126.8
172: loss=0.732, reward_mean=-33.7, reward_bound=71.6
173: loss=0.666, reward_mean=-133.3, reward_bound=-88.5
174: loss=0.768, reward_mean=-78.4, reward_bound=-18.2
